"key","message","comment","context"
"%s : EmailAddress not exist","L'adresse e-mail n'existe pas",,
"%s sync fail : %s \nError code : %s - Error Message : %s\nDetails : %s",,,
"Access tocken fetched successfully",,,
"App office365",,,
"Application (client) ID","ID client",,
"Application (client) secret","ID client secret",,
"Authenticate","Authentification",,
"Authentication url",,,
"Authorized",,,
"Away",,,
"Base Batch",,,
"Batch contact synchronization",,,
"Birth date",,,
"Business address",,,
"Calendar",,,
"Calendar sync",,,
"Calendar sync completed",,,
"Calendars",,,
"Configuration",,,
"Contact",,,
"Contact sync",,,
"Contact sync completed",,,
"Contact synchronization",,,
"Default office account","Compte office 365 par défaut",,
"Email",,,
"Generate authorization url",,,
"Is office default calendar",,,
"Is office removable calendar",,,
"Job title",,,
"Last office sync on",,,
"Lead",,,
"Mail sync",,,
"Mail sync completed",,,
"Name",,,
"Nick name",,,
"OFFICE_365",,,
"Office account",,,
"Office accounts","Compte office 365",,
"Office365",,,
"Office365 accounts","Liste des comptes office 365",,
"Office365 calendar events","Événements de calendrier Office365",,
"Office365 calendars","Calendriers Office365",,
"Office365 configuration are missing",,,
"Office365 contacts","Contacts Office365",,
"Office365 events",,,
"Office365 id",,,
"Office365 mail",,,
"Office365 mails","Courriers Office365",,
"Optional",,,
"Other address",,,
"Partner",,,
"Received date",,,
"Redirect URI","URI de redirection",,
"Refresh token",,,
"Removal fail : Office365 Id : %s \nError Code : %s - Error Message : %s\nDetails : %s",,,
"Removed %s : %s",,,
"Required",,,
"Sync calendar","Synchroniser les calendriers",,
"Sync contact","Synchroniser les contacts",,
"Sync mail","Synchroniser les emails",,
"Synced %s : %s",,,
"Tentative",,,
"Token doesn't exist",,,
"Total fetch %s : %s",,,
"User",,,
"Working elsewhere",,,
